,average,code,reference,speed,travelTimeMinutes,type,score,c-Value,speedBucket,segmentClosed,date,time
0,105.0,365636141,105.0,100.0,0.685,XDS,30.0,100.0,3.0,,2022-08-16,11:10
1,103.0,365706944,101.0,100.0,0.62,XDS,30.0,100.0,3.0,,2022-08-16,11:10
2,103.0,365706810,101.0,89.0,0.678,XDS,30.0,100.0,2.0,,2022-08-16,11:10
3,103.0,365706828,101.0,79.0,0.815,XDS,30.0,41.0,2.0,,2022-08-16,11:10
4,103.0,365636104,105.0,114.0,0.488,XDS,30.0,100.0,3.0,,2022-08-16,11:10
5,103.0,365636085,105.0,111.0,0.446,XDS,30.0,100.0,3.0,,2022-08-16,11:10
6,103.0,365673103,103.0,121.0,0.119,XDS,30.0,36.0,3.0,,2022-08-16,11:10
7,103.0,365706849,101.0,76.0,0.183,XDS,30.0,11.0,2.0,,2022-08-16,11:10
8,101.0,365706869,98.0,87.0,0.631,XDS,30.0,100.0,2.0,,2022-08-16,11:10
9,101.0,365706731,98.0,105.0,0.546,XDS,30.0,100.0,3.0,,2022-08-16,11:10
10,103.0,365744050,101.0,109.0,0.545,XDS,30.0,100.0,3.0,,2022-08-16,11:10
11,103.0,365744106,100.0,113.0,0.53,XDS,30.0,100.0,3.0,,2022-08-16,11:10
12,103.0,365744085,100.0,109.0,0.59,XDS,30.0,100.0,3.0,,2022-08-16,11:10
13,103.0,365706751,98.0,98.0,0.585,XDS,30.0,100.0,3.0,,2022-08-16,11:10
14,103.0,365706774,98.0,98.0,0.841,XDS,30.0,100.0,3.0,,2022-08-16,11:10
15,105.0,365706793,101.0,114.0,0.296,XDS,30.0,21.0,3.0,,2022-08-16,11:10
16,101.0,365744159,101.0,101.0,0.582,XDS,30.0,100.0,3.0,,2022-08-16,11:10
17,103.0,365744070,103.0,109.0,0.545,XDS,30.0,100.0,3.0,,2022-08-16,11:10
18,103.0,365706658,100.0,100.0,0.567,XDS,30.0,96.0,3.0,,2022-08-16,11:10
19,101.0,365744183,100.0,109.0,0.54,XDS,30.0,100.0,3.0,,2022-08-16,11:10
20,95.0,365760473,97.0,105.0,0.614,XDS,30.0,100.0,3.0,,2022-08-16,11:10
21,82.0,365760453,84.0,80.0,0.799,XDS,30.0,100.0,3.0,,2022-08-16,11:10
22,89.0,365722268,89.0,77.0,0.817,XDS,30.0,100.0,2.0,,2022-08-16,11:10
23,93.0,365722254,93.0,106.0,0.808,XDS,30.0,100.0,3.0,,2022-08-16,11:10
24,100.0,365737808,98.0,101.0,0.398,XDS,30.0,36.0,3.0,,2022-08-16,11:10
25,98.0,365760415,98.0,114.0,0.493,XDS,30.0,100.0,3.0,,2022-08-16,11:10
26,97.0,406802896,97.0,48.0,1.311,XDS,30.0,15.0,1.0,,2022-08-16,11:10
27,80.0,365737733,80.0,13.0,3.503,XDS,30.0,74.0,0.0,,2022-08-16,11:10
28,89.0,365737790,89.0,80.0,0.799,XDS,30.0,100.0,2.0,,2022-08-16,11:10
29,89.0,365737865,89.0,89.0,0.799,XDS,30.0,100.0,3.0,,2022-08-16,11:10
30,105.0,365706677,101.0,106.0,0.14,XDS,30.0,100.0,3.0,,2022-08-16,11:10
31,105.0,365744125,101.0,117.0,0.115,XDS,30.0,100.0,3.0,,2022-08-16,11:10
32,106.0,365744238,101.0,103.0,0.628,XDS,30.0,100.0,3.0,,2022-08-16,11:10
33,105.0,365744144,101.0,109.0,0.424,XDS,30.0,100.0,3.0,,2022-08-16,11:10
34,105.0,365706697,101.0,106.0,0.649,XDS,30.0,100.0,3.0,,2022-08-16,11:10
35,105.0,365706716,101.0,114.0,0.179,XDS,30.0,100.0,3.0,,2022-08-16,11:10
36,105.0,365744258,103.0,117.0,0.461,XDS,30.0,100.0,3.0,,2022-08-16,11:10
37,106.0,365707836,101.0,87.0,0.892,XDS,30.0,100.0,2.0,,2022-08-16,11:10
38,105.0,365707854,101.0,89.0,0.642,XDS,30.0,100.0,2.0,,2022-08-16,11:10
39,103.0,365744222,103.0,92.0,0.586,XDS,30.0,100.0,2.0,,2022-08-16,11:10
40,105.0,365744202,103.0,105.0,0.513,XDS,30.0,100.0,3.0,,2022-08-16,11:10
41,103.0,365707877,100.0,97.0,0.588,XDS,30.0,100.0,3.0,,2022-08-16,11:10
42,103.0,365707897,100.0,93.0,0.617,XDS,30.0,100.0,3.0,,2022-08-16,11:10
43,103.0,365744312,103.0,89.0,0.613,XDS,30.0,100.0,2.0,,2022-08-16,11:10
44,84.0,365613579,80.0,93.0,0.1,XDS,30.0,100.0,3.0,,2022-08-16,11:10
45,82.0,365681557,80.0,69.0,0.144,XDS,30.0,100.0,2.0,,2022-08-16,11:10
46,92.0,365744653,89.0,90.0,0.163,XDS,30.0,100.0,3.0,,2022-08-16,11:10
47,58.0,365744786,53.0,45.0,0.385,XDS,30.0,96.0,2.0,,2022-08-16,11:10
48,74.0,365630980,71.0,90.0,0.149,XDS,30.0,94.0,3.0,,2022-08-16,11:10
49,97.0,365744844,95.0,95.0,0.156,XDS,30.0,100.0,3.0,,2022-08-16,11:10
50,82.0,365648204,80.0,77.0,0.204,XDS,30.0,100.0,3.0,,2022-08-16,11:10
51,68.0,365727086,61.0,58.0,0.114,XDS,30.0,100.0,3.0,,2022-08-16,11:10
52,76.0,365650658,71.0,63.0,0.133,XDS,30.0,100.0,2.0,,2022-08-16,11:10
53,50.0,365637584,48.0,47.0,0.348,XDS,30.0,100.0,3.0,,2022-08-16,11:10
54,66.0,365687553,63.0,90.0,0.069,XDS,30.0,8.0,3.0,,2022-08-16,11:10
55,53.0,365757606,51.0,48.0,0.371,XDS,30.0,100.0,3.0,,2022-08-16,11:10
56,84.0,365683500,82.0,77.0,0.134,XDS,30.0,100.0,3.0,,2022-08-16,11:10
57,58.0,365631984,51.0,48.0,0.346,XDS,30.0,100.0,3.0,,2022-08-16,11:10
58,77.0,365744753,72.0,90.0,0.151,XDS,30.0,48.0,3.0,,2022-08-16,11:10
59,74.0,365744768,71.0,55.0,0.547,XDS,30.0,16.0,2.0,,2022-08-16,11:10
60,89.0,365744731,84.0,89.0,0.187,XDS,30.0,100.0,3.0,,2022-08-16,11:10
61,80.0,365738279,74.0,71.0,0.228,XDS,30.0,100.0,3.0,,2022-08-16,11:10
62,89.0,365616115,87.0,87.0,0.156,XDS,30.0,100.0,3.0,,2022-08-16,11:10
63,77.0,365673040,76.0,66.0,0.354,XDS,30.0,100.0,2.0,,2022-08-16,11:10
64,84.0,365744675,79.0,68.0,0.15,XDS,30.0,95.0,2.0,,2022-08-16,11:10
65,105.0,365707761,103.0,98.0,0.566,XDS,30.0,100.0,3.0,,2022-08-16,11:10
66,105.0,365719943,108.0,113.0,0.486,XDS,30.0,100.0,3.0,,2022-08-16,11:10
67,90.0,365662442,85.0,72.0,0.122,XDS,30.0,59.0,2.0,,2022-08-16,11:10
68,90.0,365668335,85.0,77.0,1.24,XDS,30.0,100.0,2.0,,2022-08-16,11:10
69,93.0,365725822,92.0,95.0,1.005,XDS,30.0,80.0,3.0,,2022-08-16,11:10
70,106.0,365647156,103.0,95.0,0.569,XDS,30.0,80.0,2.0,,2022-08-16,11:10
71,103.0,365647025,101.0,80.0,0.704,XDS,30.0,16.0,2.0,,2022-08-16,11:10
72,93.0,365633671,92.0,82.0,0.16,XDS,30.0,84.0,2.0,,2022-08-16,11:10
73,89.0,365731015,89.0,97.0,0.107,XDS,30.0,100.0,3.0,,2022-08-16,11:10
74,87.0,365726299,85.0,93.0,0.153,XDS,30.0,51.0,3.0,,2022-08-16,11:10
75,87.0,365651669,85.0,92.0,0.112,XDS,30.0,51.0,3.0,,2022-08-16,11:10
76,105.0,365707779,100.0,89.0,0.608,XDS,30.0,100.0,2.0,,2022-08-16,11:10
77,106.0,365707800,100.0,109.0,0.492,XDS,30.0,100.0,3.0,,2022-08-16,11:10
78,89.0,365713717,87.0,90.0,0.099,XDS,30.0,100.0,3.0,,2022-08-16,11:10
79,93.0,365663911,92.0,95.0,0.127,XDS,30.0,100.0,3.0,,2022-08-16,11:10
80,79.0,261187398,80.0,92.0,0.603,XDS,30.0,72.0,3.0,,2022-08-16,11:10
81,108.0,365647127,103.0,122.0,0.54,XDS,30.0,100.0,3.0,,2022-08-16,11:10
82,90.0,365706043,90.0,84.0,0.595,XDS,30.0,100.0,3.0,,2022-08-16,11:10
83,108.0,365707820,101.0,106.0,0.505,XDS,30.0,100.0,3.0,,2022-08-16,11:10
84,106.0,365707684,101.0,109.0,0.492,XDS,30.0,100.0,3.0,,2022-08-16,11:10
85,106.0,365647110,101.0,105.0,0.402,XDS,30.0,100.0,3.0,,2022-08-16,11:10
86,69.0,406796926,71.0,84.0,0.386,XDS,30.0,100.0,3.0,,2022-08-16,11:10
87,69.0,365744576,71.0,63.0,0.708,XDS,30.0,100.0,2.0,,2022-08-16,11:10
88,84.0,365630756,85.0,55.0,0.806,XDS,30.0,99.0,2.0,,2022-08-16,11:10
89,84.0,406796957,85.0,89.0,0.42,XDS,30.0,99.0,3.0,,2022-08-16,11:10
90,56.0,365663491,60.0,55.0,0.662,XDS,30.0,100.0,2.0,,2022-08-16,11:10
91,71.0,365716112,72.0,47.0,0.778,XDS,30.0,99.0,2.0,,2022-08-16,11:10
92,53.0,460605251,56.0,26.0,0.589,XDS,30.0,91.0,1.0,,2022-08-16,11:10
93,48.0,460599421,53.0,6.0,1.012,XDS,30.0,70.0,0.0,,2022-08-16,11:10
94,60.0,460599420,61.0,60.0,0.094,XDS,30.0,65.0,3.0,,2022-08-16,11:10
95,60.0,460605258,61.0,42.0,0.373,XDS,30.0,65.0,2.0,,2022-08-16,11:10
96,23.0,460605257,27.0,14.0,4.823,XDS,30.0,100.0,1.0,,2022-08-16,11:10
97,26.0,460603470,31.0,11.0,5.108,XDS,30.0,100.0,1.0,,2022-08-16,11:10
