,average,code,reference,speed,travelTimeMinutes,type,score,c-Value,speedBucket,segmentClosed,date,time
0,103.0,365636141,105.0,113.0,0.606,XDS,30.0,100.0,3.0,,2022-07-27,19:21
1,103.0,365706944,101.0,124.0,0.5,XDS,30.0,70.0,3.0,,2022-07-27,19:21
2,103.0,365706810,101.0,119.0,0.502,XDS,30.0,76.0,3.0,,2022-07-27,19:21
3,101.0,365706828,101.0,121.0,0.532,XDS,30.0,60.0,3.0,,2022-07-27,19:21
4,103.0,365636104,105.0,106.0,0.524,XDS,30.0,100.0,3.0,,2022-07-27,19:21
5,103.0,365636085,105.0,111.0,0.446,XDS,30.0,100.0,3.0,,2022-07-27,19:21
6,101.0,365673103,103.0,114.0,0.125,XDS,30.0,100.0,3.0,,2022-07-27,19:21
7,100.0,365706849,101.0,124.0,0.111,XDS,30.0,69.0,3.0,,2022-07-27,19:21
8,101.0,365706869,98.0,122.0,0.45,XDS,30.0,63.0,3.0,,2022-07-27,19:21
9,101.0,365706731,98.0,117.0,0.486,XDS,30.0,68.0,3.0,,2022-07-27,19:21
10,105.0,365744050,101.0,106.0,0.555,XDS,30.0,55.0,3.0,,2022-07-27,19:21
11,103.0,365744106,100.0,100.0,0.6,XDS,30.0,100.0,3.0,,2022-07-27,19:21
12,103.0,365744085,100.0,100.0,0.65,XDS,30.0,100.0,3.0,,2022-07-27,19:21
13,103.0,365706751,98.0,116.0,0.494,XDS,30.0,100.0,3.0,,2022-07-27,19:21
14,103.0,365706774,98.0,114.0,0.717,XDS,30.0,100.0,3.0,,2022-07-27,19:21
15,105.0,365706793,101.0,124.0,0.272,XDS,30.0,37.0,3.0,,2022-07-27,19:21
16,105.0,365744159,101.0,126.0,0.475,XDS,30.0,29.0,3.0,,2022-07-27,19:21
17,105.0,365744070,103.0,124.0,0.479,XDS,30.0,14.0,3.0,,2022-07-27,19:21
18,103.0,365706658,100.0,122.0,0.461,XDS,30.0,25.0,3.0,,2022-07-27,19:21
19,103.0,365744183,100.0,116.0,0.512,XDS,30.0,36.0,3.0,,2022-07-27,19:21
20,97.0,365760473,97.0,127.0,0.503,XDS,30.0,42.0,3.0,,2022-07-27,19:21
21,84.0,365760453,84.0,85.0,0.752,XDS,30.0,100.0,3.0,,2022-07-27,19:21
22,92.0,365722268,89.0,95.0,0.663,XDS,30.0,100.0,3.0,,2022-07-27,19:21
23,97.0,365722254,93.0,89.0,0.963,XDS,30.0,100.0,3.0,,2022-07-27,19:21
24,98.0,365737808,98.0,113.0,0.355,XDS,30.0,100.0,3.0,,2022-07-27,19:21
25,100.0,365760415,98.0,129.0,0.44,XDS,30.0,39.0,3.0,,2022-07-27,19:21
26,97.0,406802896,97.0,101.0,0.623,XDS,30.0,100.0,3.0,,2022-07-27,19:21
27,85.0,365737733,80.0,93.0,0.485,XDS,30.0,60.0,3.0,,2022-07-27,19:21
28,90.0,365737790,89.0,92.0,0.702,XDS,30.0,100.0,3.0,,2022-07-27,19:21
29,92.0,365737865,89.0,92.0,0.773,XDS,30.0,100.0,3.0,,2022-07-27,19:21
30,103.0,365706677,101.0,105.0,0.144,XDS,30.0,100.0,3.0,,2022-07-27,19:21
31,105.0,365744125,101.0,124.0,0.108,XDS,30.0,44.0,3.0,,2022-07-27,19:21
32,106.0,365744238,101.0,121.0,0.539,XDS,30.0,59.0,3.0,,2022-07-27,19:21
33,105.0,365744144,101.0,121.0,0.385,XDS,30.0,32.0,3.0,,2022-07-27,19:21
34,105.0,365706697,101.0,97.0,0.709,XDS,30.0,100.0,3.0,,2022-07-27,19:21
35,105.0,365706716,101.0,90.0,0.228,XDS,30.0,49.0,2.0,,2022-07-27,19:21
36,106.0,365744258,103.0,124.0,0.435,XDS,30.0,61.0,3.0,,2022-07-27,19:21
37,105.0,365707836,101.0,92.0,0.844,XDS,30.0,100.0,2.0,,2022-07-27,19:21
38,105.0,365707854,101.0,108.0,0.523,XDS,30.0,100.0,3.0,,2022-07-27,19:21
39,105.0,365744222,103.0,129.0,0.421,XDS,30.0,54.0,3.0,,2022-07-27,19:21
40,106.0,365744202,103.0,129.0,0.421,XDS,30.0,59.0,3.0,,2022-07-27,19:21
41,103.0,365707877,100.0,109.0,0.518,XDS,30.0,100.0,3.0,,2022-07-27,19:21
42,103.0,365707897,100.0,92.0,0.631,XDS,30.0,100.0,2.0,,2022-07-27,19:21
43,105.0,365744312,103.0,119.0,0.453,XDS,30.0,54.0,3.0,,2022-07-27,19:21
44,84.0,365613579,80.0,84.0,0.113,XDS,30.0,100.0,3.0,,2022-07-27,19:21
45,85.0,365681557,80.0,79.0,0.126,XDS,30.0,100.0,3.0,,2022-07-27,19:21
46,90.0,365744653,89.0,82.0,0.179,XDS,30.0,100.0,3.0,,2022-07-27,19:21
47,56.0,365744786,53.0,60.0,0.289,XDS,30.0,100.0,3.0,,2022-07-27,19:21
48,74.0,365630980,71.0,76.0,0.179,XDS,30.0,100.0,3.0,,2022-07-27,19:21
49,98.0,365744844,95.0,101.0,0.147,XDS,30.0,100.0,3.0,,2022-07-27,19:21
50,84.0,365648204,80.0,87.0,0.181,XDS,30.0,100.0,3.0,,2022-07-27,19:21
51,64.0,365727086,61.0,64.0,0.103,XDS,30.0,100.0,3.0,,2022-07-27,19:21
52,76.0,365650658,71.0,74.0,0.113,XDS,30.0,100.0,3.0,,2022-07-27,19:21
53,51.0,365637584,48.0,56.0,0.292,XDS,30.0,100.0,3.0,,2022-07-27,19:21
54,64.0,365687553,63.0,69.0,0.089,XDS,30.0,100.0,3.0,,2022-07-27,19:21
55,51.0,365757606,51.0,50.0,0.356,XDS,30.0,100.0,3.0,,2022-07-27,19:21
56,82.0,365683500,82.0,92.0,0.115,XDS,30.0,100.0,3.0,,2022-07-27,19:21
57,55.0,365631984,51.0,58.0,0.292,XDS,30.0,100.0,3.0,,2022-07-27,19:21
58,74.0,365744753,72.0,64.0,0.209,XDS,30.0,100.0,2.0,,2022-07-27,19:21
59,77.0,365744768,71.0,68.0,0.441,XDS,30.0,100.0,3.0,,2022-07-27,19:21
60,89.0,365744731,84.0,87.0,0.189,XDS,30.0,100.0,3.0,,2022-07-27,19:21
61,77.0,365738279,74.0,72.0,0.225,XDS,30.0,100.0,3.0,,2022-07-27,19:21
62,90.0,365616115,87.0,105.0,0.129,XDS,30.0,21.0,3.0,,2022-07-27,19:21
63,79.0,365673040,76.0,68.0,0.349,XDS,30.0,100.0,2.0,,2022-07-27,19:21
64,85.0,365744675,79.0,68.0,0.148,XDS,30.0,100.0,2.0,,2022-07-27,19:21
65,103.0,365707761,103.0,92.0,0.61,XDS,30.0,100.0,2.0,,2022-07-27,19:21
66,105.0,365719943,108.0,100.0,0.549,XDS,30.0,100.0,3.0,,2022-07-27,19:21
67,89.0,365662442,85.0,106.0,0.084,XDS,30.0,7.0,3.0,,2022-07-27,19:21
68,92.0,365668335,85.0,92.0,1.038,XDS,30.0,100.0,3.0,,2022-07-27,19:21
69,93.0,365725822,92.0,93.0,1.027,XDS,30.0,100.0,3.0,,2022-07-27,19:21
70,106.0,365647156,103.0,95.0,0.569,XDS,30.0,100.0,2.0,,2022-07-27,19:21
71,105.0,365647025,101.0,93.0,0.613,XDS,30.0,100.0,2.0,,2022-07-27,19:21
72,95.0,365633671,92.0,100.0,0.132,XDS,30.0,100.0,3.0,,2022-07-27,19:21
73,89.0,365731015,89.0,101.0,0.102,XDS,30.0,100.0,3.0,,2022-07-27,19:21
74,90.0,365726299,85.0,85.0,0.169,XDS,30.0,100.0,3.0,,2022-07-27,19:21
75,90.0,365651669,85.0,90.0,0.115,XDS,30.0,100.0,3.0,,2022-07-27,19:21
76,105.0,365707779,100.0,93.0,0.575,XDS,30.0,100.0,3.0,,2022-07-27,19:21
77,105.0,365707800,100.0,100.0,0.541,XDS,30.0,100.0,3.0,,2022-07-27,19:21
78,90.0,365713717,87.0,93.0,0.095,XDS,30.0,100.0,3.0,,2022-07-27,19:21
79,93.0,365663911,92.0,101.0,0.12,XDS,30.0,100.0,3.0,,2022-07-27,19:21
80,82.0,261187398,80.0,90.0,0.616,XDS,30.0,95.0,3.0,,2022-07-27,19:21
81,106.0,365647127,103.0,109.0,0.599,XDS,30.0,100.0,3.0,,2022-07-27,19:21
82,92.0,365706043,90.0,100.0,0.505,XDS,30.0,85.0,3.0,,2022-07-27,19:21
83,106.0,365707820,101.0,85.0,0.629,XDS,30.0,100.0,2.0,,2022-07-27,19:21
84,106.0,365707684,101.0,93.0,0.581,XDS,30.0,100.0,2.0,,2022-07-27,19:21
85,106.0,365647110,101.0,111.0,0.381,XDS,30.0,100.0,3.0,,2022-07-27,19:21
86,72.0,406796926,71.0,89.0,0.368,XDS,30.0,84.0,3.0,,2022-07-27,19:21
87,72.0,365744576,71.0,68.0,0.656,XDS,30.0,84.0,3.0,,2022-07-27,19:21
88,87.0,365630756,85.0,60.0,0.725,XDS,30.0,99.0,2.0,,2022-07-27,19:21
89,87.0,406796957,85.0,92.0,0.406,XDS,30.0,99.0,3.0,,2022-07-27,19:21
90,60.0,365663491,60.0,61.0,0.597,XDS,30.0,91.0,3.0,,2022-07-27,19:21
91,72.0,365716112,72.0,43.0,0.813,XDS,30.0,50.0,1.0,,2022-07-27,19:21
92,56.0,460605251,56.0,60.0,0.255,XDS,30.0,88.0,3.0,,2022-07-27,19:21
93,53.0,460599421,53.0,55.0,0.11,XDS,30.0,100.0,3.0,,2022-07-27,19:21
94,60.0,460599420,61.0,64.0,0.087,XDS,30.0,100.0,3.0,,2022-07-27,19:21
95,60.0,460605258,61.0,60.0,0.261,XDS,30.0,100.0,3.0,,2022-07-27,19:21
96,27.0,460605257,27.0,23.0,3.069,XDS,30.0,99.0,2.0,,2022-07-27,19:21
97,31.0,460603470,31.0,31.0,1.977,XDS,30.0,98.0,3.0,,2022-07-27,19:21
98,24.0,365659901,23.0,18.0,0.176,XDS,30.0,100.0,2.0,,2022-07-27,19:21
99,29.0,365619009,29.0,11.0,3.919,XDS,30.0,71.0,1.0,,2022-07-27,19:21
100,27.0,332675051,29.0,14.0,0.102,XDS,30.0,100.0,1.0,,2022-07-27,19:21
101,27.0,332675050,29.0,18.0,0.737,XDS,30.0,100.0,1.0,,2022-07-27,19:21
102,27.0,365706579,29.0,26.0,1.068,XDS,30.0,100.0,2.0,,2022-07-27,19:21
103,66.0,365751711,64.0,60.0,0.738,XDS,30.0,100.0,2.0,,2022-07-27,19:21
104,66.0,365751694,64.0,72.0,0.597,XDS,30.0,100.0,3.0,,2022-07-27,19:21
105,72.0,365751598,71.0,77.0,0.566,XDS,30.0,53.0,3.0,,2022-07-27,19:21
106,69.0,365738824,69.0,72.0,0.599,XDS,30.0,100.0,3.0,,2022-07-27,19:21
107,66.0,365738733,64.0,68.0,0.653,XDS,30.0,100.0,3.0,,2022-07-27,19:21
108,66.0,365738714,64.0,50.0,0.847,XDS,30.0,100.0,2.0,,2022-07-27,19:21
109,76.0,365738771,76.0,76.0,0.575,XDS,30.0,100.0,3.0,,2022-07-27,19:21
110,76.0,365738829,76.0,72.0,0.599,XDS,30.0,100.0,3.0,,2022-07-27,19:21
111,79.0,365751578,79.0,98.0,0.444,XDS,30.0,6.0,3.0,,2022-07-27,19:21
112,79.0,365751637,79.0,129.0,0.349,XDS,30.0,6.0,3.0,,2022-07-27,19:21
113,77.0,365738883,77.0,72.0,0.11,XDS,30.0,100.0,3.0,,2022-07-27,19:21
114,82.0,365738904,82.0,138.0,0.077,XDS,30.0,0.0,3.0,,2022-07-27,19:21
115,105.0,365707628,100.0,119.0,0.177,XDS,30.0,31.0,3.0,,2022-07-27,19:21
116,108.0,365627440,100.0,114.0,0.641,XDS,30.0,100.0,3.0,,2022-07-27,19:21
117,106.0,332760660,100.0,114.0,0.181,XDS,30.0,58.0,3.0,,2022-07-27,19:21
118,103.0,365707746,100.0,105.0,0.567,XDS,30.0,96.0,3.0,,2022-07-27,19:21
119,105.0,365707610,100.0,113.0,0.727,XDS,30.0,81.0,3.0,,2022-07-27,19:21
120,106.0,365627327,100.0,97.0,0.865,XDS,30.0,100.0,3.0,,2022-07-27,19:21
121,106.0,365627347,100.0,97.0,0.609,XDS,30.0,100.0,3.0,,2022-07-27,19:21
122,103.0,365707725,100.0,98.0,0.601,XDS,30.0,100.0,3.0,,2022-07-27,19:21
123,106.0,365647043,101.0,105.0,0.141,XDS,30.0,100.0,3.0,,2022-07-27,19:21
