,average,code,reference,speed,travelTimeMinutes,type,score,c-Value,speedBucket
0,97,365636141,100,106,0.646,XDS,30,100.0,3
1,93,365706944,100,97,0.639,XDS,30,81.0,3
2,93,365706810,98,97,0.622,XDS,30,100.0,3
3,93,365706828,98,101,0.637,XDS,30,100.0,3
4,97,365636104,100,89,0.662,XDS,30,100.0,2
5,97,365636085,100,103,0.48,XDS,30,100.0,3
6,95,365673103,100,92,0.125,XDS,30,100.0,2
7,92,365706849,97,87,0.13,XDS,30,100.0,2
8,92,365706869,97,101,0.567,XDS,30,100.0,3
9,92,365706731,97,89,0.644,XDS,30,100.0,2
10,97,365744050,100,101,0.588,XDS,30,100.0,3
11,95,365744106,98,100,0.594,XDS,30,100.0,3
12,95,365744085,98,89,0.723,XDS,30,100.0,2
13,93,365706751,97,84,0.69,XDS,30,100.0,2
14,93,365706774,97,80,1.018,XDS,30,100.0,2
15,95,365706793,100,80,0.417,XDS,30,100.0,2
16,97,365744159,100,97,0.618,XDS,30,100.0,3
17,97,365744070,100,95,0.625,XDS,30,100.0,3
18,93,365706658,98,80,0.701,XDS,30,100.0,2
19,95,365744183,98,93,0.638,XDS,30,100.0,3
20,92,365760473,93,77,0.819,XDS,30,100.0,2
21,82,365760453,84,72,0.875,XDS,30,98.0,2
22,84,365722268,87,84,0.758,XDS,30,100.0,3
23,87,365722254,92,85,1.008,XDS,30,100.0,3
24,90,365737808,93,85,0.467,XDS,30,100.0,2
25,93,365760415,95,87,0.652,XDS,30,100.0,2
26,89,406802896,92,80,0.777,XDS,30,100.0,2
27,77,365737733,80,84,0.549,XDS,30,100.0,3
28,80,365737790,85,80,0.789,XDS,30,100.0,3
29,84,365737865,87,84,0.846,XDS,30,100.0,3
30,95,365706677,100,84,0.171,XDS,30,100.0,2
31,95,365744125,100,85,0.158,XDS,30,100.0,2
32,97,365744238,101,98,0.66,XDS,30,100.0,3
33,97,365744144,100,89,0.525,XDS,30,100.0,2
34,95,365706697,100,85,0.808,XDS,30,100.0,2
35,95,365706716,100,80,0.257,XDS,30,100.0,2
36,98,365744258,101,92,0.592,XDS,30,100.0,2
37,95,365707836,100,84,0.924,XDS,30,100.0,2
38,93,365707854,100,85,0.657,XDS,30,100.0,2
39,97,365744222,100,97,0.562,XDS,30,100.0,3
40,98,365744202,101,93,0.573,XDS,30,100.0,2
41,93,365707877,98,85,0.664,XDS,30,100.0,2
42,93,365707897,98,84,0.691,XDS,30,100.0,2
43,97,365744312,100,84,0.65,XDS,30,100.0,2
44,79,365613579,80,69,0.133,XDS,30,84.0,2
45,77,365681557,80,77,0.129,XDS,30,100.0,3
46,84,365744653,89,95,0.154,XDS,30,100.0,3
47,71,365630980,71,71,0.189,XDS,30,100.0,3
48,51,365744786,55,43,0.403,XDS,30,93.0,2
49,90,365744844,93,85,0.175,XDS,30,100.0,2
50,80,365648204,80,79,0.199,XDS,30,100.0,3
51,61,365727086,63,50,0.132,XDS,30,62.0,2
52,69,365650658,72,56,0.15,XDS,30,100.0,2
53,48,365637584,48,47,0.348,XDS,30,100.0,3
54,60,365687553,63,56,0.11,XDS,30,100.0,2
55,51,365757606,51,42,0.424,XDS,30,55.0,2
56,79,365683500,80,76,0.138,XDS,30,100.0,3
57,53,365631984,55,48,0.353,XDS,30,100.0,2
58,72,365744753,74,63,0.216,XDS,30,44.0,2
59,71,365744768,71,66,0.447,XDS,30,100.0,3
60,82,365744731,85,72,0.225,XDS,30,100.0,2
61,72,365738279,76,64,0.253,XDS,30,59.0,2
62,74,365673040,76,68,0.343,XDS,30,100.0,2
63,85,365616115,87,101,0.134,XDS,30,27.0,3
64,95,365707761,100,89,0.63,XDS,30,100.0,2
65,77,365744675,80,74,0.136,XDS,30,100.0,2
66,97,365719943,101,77,0.697,XDS,30,100.0,2
67,82,365662442,87,76,0.117,XDS,30,100.0,2
68,82,365668335,89,80,1.179,XDS,30,100.0,2
69,87,365725822,90,93,1.027,XDS,30,100.0,3
70,97,365647156,101,80,0.667,XDS,30,100.0,2
71,95,365647025,100,76,0.75,XDS,30,100.0,2
72,90,365633671,92,90,0.146,XDS,30,100.0,3
73,85,365731015,87,85,0.121,XDS,30,100.0,3
74,79,365726299,85,76,0.189,XDS,30,100.0,2
75,79,365651669,85,76,0.136,XDS,30,100.0,2
76,95,365707779,98,85,0.629,XDS,30,100.0,2
77,95,365707800,98,85,0.636,XDS,30,100.0,2
78,80,365713717,85,79,0.112,XDS,30,100.0,2
79,89,365663911,90,93,0.129,XDS,30,100.0,3
80,72,261187398,77,74,0.749,XDS,30,52.0,3
81,97,365647127,101,80,0.823,XDS,30,100.0,2
82,85,365706043,89,89,0.561,XDS,30,100.0,3
83,95,365707820,100,93,0.581,XDS,30,100.0,3
84,97,365707684,100,89,0.607,XDS,30,100.0,2
85,97,365647110,101,82,0.515,XDS,30,100.0,2
86,68,406796926,71,60,0.54,XDS,30,4.0,2
87,68,365744576,71,56,0.784,XDS,30,4.0,2
88,84,365630756,85,80,0.546,XDS,30,100.0,3
89,84,406796957,85,85,0.434,XDS,30,100.0,3
90,55,365663491,58,56,0.65,XDS,30,100.0,3
91,71,365716112,72,66,0.536,XDS,30,100.0,2
92,53,460605251,56,55,0.279,XDS,30,100.0,3
93,50,460599421,53,50,0.121,XDS,30,100.0,3
94,60,460599420,61,60,0.093,XDS,30,100.0,3
95,60,460605258,61,61,0.261,XDS,30,100.0,3
96,24,460605257,27,24,2.813,XDS,30,100.0,2
97,24,460603470,31,23,2.665,XDS,30,100.0,2
98,18,365659901,24,16,0.201,XDS,30,100.0,2
99,26,365619009,31,21,2.052,XDS,30,100.0,2
100,24,332675051,29,18,0.084,XDS,30,100.0,1
101,24,332675050,29,18,0.737,XDS,30,100.0,1
102,24,365706579,29,26,1.068,XDS,30,100.0,2
103,61,365751711,64,43,1.013,XDS,30,34.0,2
104,61,365751694,64,60,0.738,XDS,30,34.0,2
105,66,365751598,69,68,0.65,XDS,30,67.0,3
106,68,365738824,69,74,0.591,XDS,30,100.0,3
107,63,365738733,64,64,0.683,XDS,30,100.0,3
108,63,365738714,64,50,0.847,XDS,30,100.0,2
109,76,365738771,76,64,0.672,XDS,30,100.0,2
110,76,365738829,76,76,0.575,XDS,30,100.0,3
111,71,365751578,77,64,0.67,XDS,30,100.0,2
112,71,365751637,77,68,0.658,XDS,30,100.0,2
113,76,365738883,77,71,0.111,XDS,30,100.0,2
114,77,365738904,80,76,0.14,XDS,30,100.0,3
115,95,365707628,98,56,0.376,XDS,30,74.0,1
116,98,365627440,101,124,0.595,XDS,30,23.0,3
117,97,332760660,101,101,0.207,XDS,30,100.0,3
118,97,365707746,98,101,0.59,XDS,30,100.0,3
119,97,365707610,98,76,1.095,XDS,30,100.0,2
120,97,365627327,100,105,0.799,XDS,30,100.0,3
121,97,365627347,100,108,0.544,XDS,30,100.0,3
122,97,365707725,98,85,0.701,XDS,30,100.0,2
123,97,365647043,101,90,0.139,XDS,30,100.0,2
124,98,365646898,100,98,0.131,XDS,30,100.0,3
125,95,365647089,100,87,0.621,XDS,30,100.0,2
126,97,365707702,100,85,0.68,XDS,30,100.0,2
127,55,443275118,63,63,0.899,XDS,30,64.0,3
128,71,332866371,80,72,0.776,XDS,30,100.0,2
129,51,365684518,61,53,1.068,XDS,30,94.0,2
130,63,365684429,68,63,0.898,XDS,30,89.0,3
131,72,332472544,79,72,0.775,XDS,30,100.0,2
132,58,443278433,61,56,1.011,XDS,30,91.0,2
133,76,332451971,80,97,0.476,XDS,30,97.0,3
134,71,365636811,80,82,0.691,XDS,30,100.0,3
135,72,365636776,85,80,0.7,XDS,30,100.0,3
136,56,443275119,68,40,1.381,XDS,30,87.0,1
137,68,365636868,76,74,1.218,XDS,30,96.0,3
138,72,365704053,80,69,0.923,XDS,30,100.0,2
139,71,365685861,79,69,0.753,XDS,30,100.0,2
140,71,365704033,79,64,0.855,XDS,30,100.0,2
141,71,365685765,79,64,0.621,XDS,30,100.0,2
142,64,365732677,71,68,0.934,XDS,30,86.0,3
143,68,365732548,74,68,0.992,XDS,30,100.0,2
144,48,365732659,60,51,0.734,XDS,30,100.0,2
145,42,365639912,42,34,0.23,XDS,30,100.0,2
146,51,365668610,55,80,0.116,XDS,30,65.0,3
147,51,406789040,55,51,0.123,XDS,30,65.0,3
148,23,406789041,26,13,0.482,XDS,30,100.0,1
149,43,365744655,47,40,0.166,XDS,30,100.0,2
150,63,365727300,68,18,0.819,XDS,30,80.0,0
151,63,365732639,68,56,0.911,XDS,30,80.0,2
152,63,365656340,68,27,0.145,XDS,30,80.0,1
153,29,365727262,39,27,0.516,XDS,30,100.0,2
154,29,365656321,39,34,0.119,XDS,30,100.0,2
155,39,365764554,40,35,0.245,XDS,30,100.0,2
156,45,365764534,48,26,0.339,XDS,30,46.0,1
157,45,365647040,48,48,0.218,XDS,30,46.0,3
158,60,365727808,69,61,0.921,XDS,30,97.0,2
159,68,365727903,72,63,0.886,XDS,30,100.0,2
160,68,332472846,72,76,0.735,XDS,30,96.0,3
161,72,365627354,76,64,1.191,XDS,30,79.0,2
162,76,332845097,80,63,0.561,XDS,30,93.0,2
163,48,365773052,51,47,1.187,XDS,20,,2
164,69,365618913,72,47,1.213,XDS,30,60.0,2
165,69,365627365,74,69,0.798,XDS,30,89.0,3
166,69,365618857,74,58,0.963,XDS,30,89.0,2
167,51,365773054,53,40,1.397,XDS,30,98.0,2
168,19,406789051,23,21,0.101,XDS,20,,3
169,16,365772380,16,16,0.102,XDS,20,,3
170,21,365772356,21,21,0.109,XDS,20,,3
